vin,perc_days,avg_daily_max,avg_daily_mean,overall_max,overall_mean,mean_day_length_g,mean_day_length_r_g,mean_drive_length_r_g,mean_drive_length_g
ZHWEA6ZX0MLA17885,0.08860759493670886,80.502722323049,34.150635208711435,114,34.150635208711435,272,193.21428571428572,77.28571428571429,272
ZHWEA6ZX0MLA17904,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX0MLA17918,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX0MLA17952,0.12244897959183673,136.28138528138527,41.66720779220779,208,41.66720779220779,4888.5,849,347.3181818181818,4888.5
ZHWEA6ZX0MLA17983,0.2620689655172414,97.20403980541778,37.35876265547501,170.59,37.35876265547501,2339.5,442.1081081081081,168.63917525773195,1336.857142857143
ZHWEA6ZX0MLA18003,0.3333333333333333,203.8466241593152,69.97934317407633,252,69.97934317407633,4808.72,3581.7619047619046,726.7342995169082,1321.076923076923
ZHWEA6ZX0MLA18017,0.18115942028985507,83.52718832891247,28.157824933687003,144,28.157824933687003,1462.25,492.6,175.92857142857142,974.8333333333334
ZHWEA6ZX0NLA18066,0.22137404580152673,195.99320449573267,81.86529304002885,236.574,81.86529304002885,7267.833333333333,1892.107142857143,608.9540229885057,2180.35
ZHWEA6ZX0NLA18200,0.32142857142857145,218.19981412639405,72.57406348298541,263,72.57406348298542,5765.375,3696.4074074074074,1188.1309523809523,2049.911111111111
ZHWEA6ZX0NLA18245,0.3333333333333333,200.6016583371195,63.83689232167197,254,63.83689232167197,5335.454545454545,2988.52,889.4404761904761,2173.703703703704
ZHWEA6ZX0NLA18262,0.3815789473684211,190.43423449333716,86.35097306106798,239,86.35097306106798,6343.722222222223,4750.896551724138,1093.4603174603174,1968.7413793103449
ZHWEA6ZX0NLA18309,0.4716981132075472,205.93882678055522,69.86559477452582,316,69.86559477452582,4232.5,2511,653.90625,2821.6666666666665
ZHWEA6ZX0NLA18312,0.3958333333333333,161.17820684425035,60.566620838427944,199.559,60.56662083842795,3421,1363.3333333333333,511.25,1710.5
ZHWEA6ZX0NLA18360,0.23636363636363636,144.85117391808873,36.99294200682594,199.559,36.99294200682594,4329.5,1145.1818181818182,381.72727272727275,1082.375
ZHWEA6ZX0NLA18472,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX0NLA18505,0.2127659574468085,116.2805368873403,34.26164619047619,175.419,34.26164619047619,NA,403.1111111111111,125.10344827586206,NA
ZHWEA6ZX0NLA18598,0.36363636363636365,39.463541666666664,19.90625,60,19.90625,423.5,145.8181818181818,72.9090909090909,423.5
ZHWEA6ZX0NLA18651,0.4,101.86504424778761,38.451327433628315,142,38.45132743362832,2463,488.8,181.03703703703704,2463
ZHWEA6ZX0NLA18682,0.25,100.51166666666667,45.19833333333334,119,45.19833333333333,NA,363,87.12,NA
ZHWEA6ZX0NLA18830,0.5,125.09731543624162,53.61744966442953,150,53.61744966442953,2160,457.3333333333333,161.41176470588235,2160
ZHWEA6ZX0NLA18861,0.2857142857142857,146.91992551210427,52.828677839851025,148,52.828677839851025,2115,3282,820.5,2115
ZHWEA6ZX0NLA18908,1,125,66.42,125,66.42,NA,NA,NA,NA
ZHWEA6ZX0NLA18911,0.6666666666666666,153.70247933884298,56.89462809917355,157,56.89462809917355,2667,2849,712.25,2667
ZHWEA6ZX1MLA16311,0.31386861313868614,217.65555260687245,97.57200650902737,272,97.57200650902737,5074.333333333333,1553.6588235294118,395.3922155688623,1136.044776119403
